KO_gene	Gene_name	Pathway
K05947  E2.4.1.217	mannosyl-3-phosphoglycerate synthase [EC:2.4.1.217]	ko00051 Fructose and mannose metabolism [PATH:ko00051]
K07026  E3.1.3.70	mannosyl-3-phosphoglycerate phosphatase [EC:3.1.3.70]	ko00051 Fructose and mannose metabolism [PATH:ko00051]
K18818  mgs	mannosylglycerate synthase [EC:2.4.1.269]	ko00051 Fructose and mannose metabolism [PATH:ko00051]
K00844  HK	hexokinase [EC:2.7.1.1]	ko00051 Fructose and mannose metabolism [PATH:ko00051]
K24182  PFK9	6-phosphofructokinase [EC:2.7.1.11]	ko00051 Fructose and mannose metabolism [PATH:ko00051]
K00850  pfkA, PFK	6-phosphofructokinase 1 [EC:2.7.1.11]	ko00051 Fructose and mannose metabolism [PATH:ko00051]
K16370  pfkB	6-phosphofructokinase 2 [EC:2.7.1.11]	ko00051 Fructose and mannose metabolism [PATH:ko00051]
K21071  pfk, pfp	ATP-dependent phosphofructokinase / diphosphate-dependent phosphofructokinase [EC:2.7.1.11 2.7.1.90]	ko00051 Fructose and mannose metabolism [PATH:ko00051]
K00895  pfp, PFP	diphosphate-dependent phosphofructokinase [EC:2.7.1.90]	ko00051 Fructose and mannose metabolism [PATH:ko00051]
K03841  FBP, fbp	fructose-1,6-bisphosphatase I [EC:3.1.3.11]	ko00051 Fructose and mannose metabolism [PATH:ko00051]
K02446  glpX	fructose-1,6-bisphosphatase II [EC:3.1.3.11]	ko00051 Fructose and mannose metabolism [PATH:ko00051]
K11532  glpX-SEBP	fructose-1,6-bisphosphatase II / sedoheptulose-1,7-bisphosphatase [EC:3.1.3.11 3.1.3.37]	ko00051 Fructose and mannose metabolism [PATH:ko00051]
K01086  fbp-SEBP	fructose-1,6-bisphosphatase I / sedoheptulose-1,7-bisphosphatase [EC:3.1.3.11 3.1.3.37]	ko00051 Fructose and mannose metabolism [PATH:ko00051]
K04041  fbp3	fructose-1,6-bisphosphatase III [EC:3.1.3.11]	ko00051 Fructose and mannose metabolism [PATH:ko00051]
K19028  PFKFB1	6-phosphofructo-2-kinase / fructose-2,6-biphosphatase 1 [EC:2.7.1.105 3.1.3.46]	ko00051 Fructose and mannose metabolism [PATH:ko00051]
K19029  PFKFB2	6-phosphofructo-2-kinase / fructose-2,6-biphosphatase 2 [EC:2.7.1.105 3.1.3.46]	ko00051 Fructose and mannose metabolism [PATH:ko00051]
K01103  PFKFB3	6-phosphofructo-2-kinase / fructose-2,6-biphosphatase 3 [EC:2.7.1.105 3.1.3.46]	ko00051 Fructose and mannose metabolism [PATH:ko00051]
K19030  PFKFB4	6-phosphofructo-2-kinase / fructose-2,6-biphosphatase 4 [EC:2.7.1.105 3.1.3.46]	ko00051 Fructose and mannose metabolism [PATH:ko00051]
K00900  E2.7.1.105, PFK	6-phosphofructo-2-kinase [EC:2.7.1.105]	ko00051 Fructose and mannose metabolism [PATH:ko00051]
K14634  TIGAR	fructose-2,6-bisphosphatase [EC:3.1.3.46]	ko00051 Fructose and mannose metabolism [PATH:ko00051]
K00009  mtlD	mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]	ko00051 Fructose and mannose metabolism [PATH:ko00051]
K00068  srlD	sorbitol-6-phosphate 2-dehydrogenase [EC:1.1.1.140]	ko00051 Fructose and mannose metabolism [PATH:ko00051]
K19956  sorE	L-sorbose 1-phosphate reductase [EC:1.1.1.-]	ko00051 Fructose and mannose metabolism [PATH:ko00051]
K00846  KHK	ketohexokinase [EC:2.7.1.3]	ko00051 Fructose and mannose metabolism [PATH:ko00051]
K00882  fruK	1-phosphofructokinase [EC:2.7.1.56]	ko00051 Fructose and mannose metabolism [PATH:ko00051]
K00008  SORD, gutB	L-iditol 2-dehydrogenase [EC:1.1.1.14]	ko00051 Fructose and mannose metabolism [PATH:ko00051]
K00011  AKR1B	aldehyde reductase [EC:1.1.1.21]	ko00051 Fructose and mannose metabolism [PATH:ko00051]
K00594  xyoA, aldO	alditol oxidase [EC:1.1.3.41]	ko00051 Fructose and mannose metabolism [PATH:ko00051]
K01805  xylA	xylose isomerase [EC:5.3.1.5]	ko00051 Fructose and mannose metabolism [PATH:ko00051]
K08261  E1.1.99.21	D-sorbitol dehydrogenase (acceptor) [EC:1.1.99.21]	ko00051 Fructose and mannose metabolism [PATH:ko00051]
K17742  SOU1	sorbose reductase [EC:1.1.1.289]	ko00051 Fructose and mannose metabolism [PATH:ko00051]
K19633  sr	sorbose reductase [EC:1.1.1.289]	ko00051 Fructose and mannose metabolism [PATH:ko00051]
K00045  E1.1.1.67, mtlK	mannitol 2-dehydrogenase [EC:1.1.1.67]	ko00051 Fructose and mannose metabolism [PATH:ko00051]
K00007  dalD	D-arabinitol 4-dehydrogenase [EC:1.1.1.11]	ko00051 Fructose and mannose metabolism [PATH:ko00051]
K00066  algD	GDP-mannose 6-dehydrogenase [EC:1.1.1.132]	ko00051 Fructose and mannose metabolism [PATH:ko00051]
K19290  alg8	mannuronan synthase [EC:2.4.1.33]	ko00051 Fructose and mannose metabolism [PATH:ko00051]
K19291  alg44	mannuronan synthase [EC:2.4.1.33]	ko00051 Fructose and mannose metabolism [PATH:ko00051]
K01795  algG	mannuronan 5-epimerase [EC:5.1.3.37]	ko00051 Fructose and mannose metabolism [PATH:ko00051]
K01729  algL	poly(beta-D-mannuronate) lyase [EC:4.2.2.3]	ko00051 Fructose and mannose metabolism [PATH:ko00051]
K01623  ALDO	fructose-bisphosphate aldolase, class I [EC:4.1.2.13]	ko00051 Fructose and mannose metabolism [PATH:ko00051]
K11645  fbaB	fructose-bisphosphate aldolase, class I [EC:4.1.2.13]	ko00051 Fructose and mannose metabolism [PATH:ko00051]
K01624  FBA, fbaA	fructose-bisphosphate aldolase, class II [EC:4.1.2.13]	ko00051 Fructose and mannose metabolism [PATH:ko00051]
K01622  K01622	fructose 1,6-bisphosphate aldolase/phosphatase [EC:4.1.2.13 3.1.3.11]	ko00051 Fructose and mannose metabolism [PATH:ko00051]
K16305  K16305	fructose-bisphosphate aldolase / 6-deoxy-5-ketofructose 1-phosphate synthase [EC:4.1.2.13 2.2.1.11]	ko00051 Fructose and mannose metabolism [PATH:ko00051]
K16306  K16306	fructose-bisphosphate aldolase / 2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase [EC:4.1.2.13 2.2.1.10]	ko00051 Fructose and mannose metabolism [PATH:ko00051]
K01803  TPI, tpiA	triosephosphate isomerase (TIM) [EC:5.3.1.1]	ko00051 Fructose and mannose metabolism [PATH:ko00051]
K00863  DAK, TKFC	triose/dihydroxyacetone kinase / FAD-AMP lyase (cyclizing) [EC:2.7.1.28 2.7.1.29 4.6.1.15]	ko00051 Fructose and mannose metabolism [PATH:ko00051]
K03332  fruA	fructan beta-fructosidase [EC:3.2.1.80]	ko00051 Fructose and mannose metabolism [PATH:ko00051]
K22252  tld	GDP-6-deoxy-D-talose 4-dehydrogenase [EC:1.1.1.135]	ko00051 Fructose and mannose metabolism [PATH:ko00051]
K15856  rmd	GDP-4-dehydro-6-deoxy-D-mannose reductase [EC:1.1.1.281]	ko00051 Fructose and mannose metabolism [PATH:ko00051]
K00881  alsK	allose kinase [EC:2.7.1.55]	ko00051 Fructose and mannose metabolism [PATH:ko00051]
K01808  rpiB	ribose 5-phosphate isomerase B [EC:5.3.1.6]	ko00051 Fructose and mannose metabolism [PATH:ko00051]
K17195  alsE	D-allulose-6-phosphate 3-epimerase [EC:5.1.3.-]	ko00051 Fructose and mannose metabolism [PATH:ko00051]
K02768  fruB	fructose PTS system EIIA component [EC:2.7.1.202]	ko00051 Fructose and mannose metabolism [PATH:ko00051]
K02769  fruAb	fructose PTS system EIIB component [EC:2.7.1.202]	ko00051 Fructose and mannose metabolism [PATH:ko00051]
K02770  fruA	fructose PTS system EIIBC or EIIC component [EC:2.7.1.202]	ko00051 Fructose and mannose metabolism [PATH:ko00051]
K11194  levD	fructose PTS system EIIA component [EC:2.7.1.202]	ko00051 Fructose and mannose metabolism [PATH:ko00051]
K11195  levE	fructose PTS system EIIB component [EC:2.7.1.202]	ko00051 Fructose and mannose metabolism [PATH:ko00051]
K11196  levF	fructose PTS system EIIC component	ko00051 Fructose and mannose metabolism [PATH:ko00051]
K02771  levG	fructose PTS system EIID component	ko00051 Fructose and mannose metabolism [PATH:ko00051]
K02793  manXa	mannose PTS system EIIA component [EC:2.7.1.191]	ko00051 Fructose and mannose metabolism [PATH:ko00051]
K02794  manX	mannose PTS system EIIAB component [EC:2.7.1.191]	ko00051 Fructose and mannose metabolism [PATH:ko00051]
K02795  manY	mannose PTS system EIIC component	ko00051 Fructose and mannose metabolism [PATH:ko00051]
K02796  manZ	mannose PTS system EIID component	ko00051 Fructose and mannose metabolism [PATH:ko00051]
K25814  manP	mannose PTS system EIIBCA component [EC:2.7.1.191]	ko00051 Fructose and mannose metabolism [PATH:ko00051]
K02798  cmtB	mannitol PTS system EIIA component [EC:2.7.1.197]	ko00051 Fructose and mannose metabolism [PATH:ko00051]
K02800  mtlA, cmtA	mannitol PTS system EIICBA or EIICB component [EC:2.7.1.197]	ko00051 Fructose and mannose metabolism [PATH:ko00051]
K19270  hxpA	mannitol-1-/sugar-/sorbitol-6-phosphatase [EC:3.1.3.22 3.1.3.23 3.1.3.50]	ko00051 Fructose and mannose metabolism [PATH:ko00051]
K24204  hxpB	mannitol-1-/sugar-/sorbitol-6-/2-deoxyglucose-6-phosphatase [EC:3.1.3.22 3.1.3.23 3.1.3.50 3.1.3.68]	ko00051 Fructose and mannose metabolism [PATH:ko00051]
K02781  srlB	glucitol/sorbitol PTS system EIIA component [EC:2.7.1.198]	ko00051 Fructose and mannose metabolism [PATH:ko00051]
K02782  srlE	glucitol/sorbitol PTS system EIIB component [EC:2.7.1.198]	ko00051 Fructose and mannose metabolism [PATH:ko00051]
K02783  srlA	glucitol/sorbitol PTS system EIIC component	ko00051 Fructose and mannose metabolism [PATH:ko00051]
K02812  sorF, sorA	sorbose PTS system EIIA component [EC:2.7.1.206]	ko00051 Fructose and mannose metabolism [PATH:ko00051]
K02813  sorB	sorbose PTS system EIIB component [EC:2.7.1.206]	ko00051 Fructose and mannose metabolism [PATH:ko00051]
K02814  sorA, sorC	sorbose PTS system EIIC component	ko00051 Fructose and mannose metabolism [PATH:ko00051]
K02815  sorM, sorD	sorbose PTS system EIID component	ko00051 Fructose and mannose metabolism [PATH:ko00051]
K01785  galM, GALM	aldose 1-epimerase [EC:5.1.3.3]	ko00052 Galactose metabolism [PATH:ko00052]
K00849  galK	galactokinase [EC:2.7.1.6]	ko00052 Galactose metabolism [PATH:ko00052]
K00965  galT, GALT	UDPglucose--hexose-1-phosphate uridylyltransferase [EC:2.7.7.12]	ko00052 Galactose metabolism [PATH:ko00052]
K01784  galE, GALE	UDP-glucose 4-epimerase [EC:5.1.3.2]	ko00052 Galactose metabolism [PATH:ko00052]
K17716  capD	UDP-glucose 4-epimerase [EC:5.1.3.2]	ko00052 Galactose metabolism [PATH:ko00052]
K00963  UGP2, galU, galF	UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9]	ko00052 Galactose metabolism [PATH:ko00052]
K01835  pgm	phosphoglucomutase [EC:5.4.2.2]	ko00052 Galactose metabolism [PATH:ko00052]
K15778  pmm-pgm	phosphomannomutase / phosphoglucomutase [EC:5.4.2.8 5.4.2.2]	ko00052 Galactose metabolism [PATH:ko00052]
K15779  PGM2	phosphoglucomutase / phosphopentomutase [EC:5.4.2.2 5.4.2.7]	ko00052 Galactose metabolism [PATH:ko00052]
K00844  HK	hexokinase [EC:2.7.1.1]	ko00052 Galactose metabolism [PATH:ko00052]
K12407  GCK	glucokinase [EC:2.7.1.2]	ko00052 Galactose metabolism [PATH:ko00052]
K00845  glk	glucokinase [EC:2.7.1.2]	ko00052 Galactose metabolism [PATH:ko00052]
K25026  glk	glucokinase [EC:2.7.1.2]	ko00052 Galactose metabolism [PATH:ko00052]
K01084  G6PC	glucose-6-phosphatase [EC:3.1.3.9]	ko00052 Galactose metabolism [PATH:ko00052]
K01190  lacZ	beta-galactosidase [EC:3.2.1.23]	ko00052 Galactose metabolism [PATH:ko00052]
K12111  ebgA	evolved beta-galactosidase subunit alpha [EC:3.2.1.23]	ko00052 Galactose metabolism [PATH:ko00052]
K12112  ebgC	evolved beta-galactosidase subunit beta	ko00052 Galactose metabolism [PATH:ko00052]
K12308  bgaB, lacA	beta-galactosidase [EC:3.2.1.23]	ko00052 Galactose metabolism [PATH:ko00052]
K12309  GLB1, ELNR1	beta-galactosidase [EC:3.2.1.23]	ko00052 Galactose metabolism [PATH:ko00052]
K01229  LCT	lactase-phlorizin hydrolase [EC:3.2.1.108 3.2.1.62]	ko00052 Galactose metabolism [PATH:ko00052]
K00704  LALBA	alpha-lactalbumin [EC:2.4.1.22]	ko00052 Galactose metabolism [PATH:ko00052]
K07966  B4GALT1	beta-1,4-galactosyltransferase 1 [EC:2.4.1.22 2.4.1.90 2.4.1.38 2.4.1.-]	ko00052 Galactose metabolism [PATH:ko00052]
K07967  B4GALT2	beta-1,4-galactosyltransferase 2 [EC:2.4.1.22 2.4.1.90 2.4.1.38 2.4.1.-]	ko00052 Galactose metabolism [PATH:ko00052]
K12447  USP	UDP-sugar pyrophosphorylase [EC:2.7.7.64]	ko00052 Galactose metabolism [PATH:ko00052]
K01854  glf	UDP-galactopyranose mutase [EC:5.4.99.9]	ko00052 Galactose metabolism [PATH:ko00052]
K18819  GOLS	inositol 3-alpha-galactosyltransferase [EC:2.4.1.123]	ko00052 Galactose metabolism [PATH:ko00052]
K06617  E2.4.1.82	raffinose synthase [EC:2.4.1.82]	ko00052 Galactose metabolism [PATH:ko00052]
K01189  GLA	alpha-galactosidase [EC:3.2.1.22]	ko00052 Galactose metabolism [PATH:ko00052]
K07406  melA	alpha-galactosidase [EC:3.2.1.22]	ko00052 Galactose metabolism [PATH:ko00052]
K07407  E3.2.1.22B, galA, rafA	alpha-galactosidase [EC:3.2.1.22]	ko00052 Galactose metabolism [PATH:ko00052]
K00011  AKR1B	aldehyde reductase [EC:1.1.1.21]	ko00052 Galactose metabolism [PATH:ko00052]
K02773  gatA, sgcA	galactitol PTS system EIIA component [EC:2.7.1.200]	ko00052 Galactose metabolism [PATH:ko00052]
K02774  gatB, sgcB	galactitol PTS system EIIB component [EC:2.7.1.200]	ko00052 Galactose metabolism [PATH:ko00052]
K02775  gatC, sgcC	galactitol PTS system EIIC component	ko00052 Galactose metabolism [PATH:ko00052]
K00094  E1.1.1.251, gatD	galactitol-1-phosphate 5-dehydrogenase [EC:1.1.1.251]	ko00052 Galactose metabolism [PATH:ko00052]
K21620  sorbD	galactitol 2-dehydrogenase [EC:1.1.1.16]	ko00052 Galactose metabolism [PATH:ko00052]
K21621  fk	tagatose kinase [EC:2.7.1.101]	ko00052 Galactose metabolism [PATH:ko00052]
K21622  tag6PK	D-tagatose 6-phosphate 4-epimerase [EC:5.1.3.40]	ko00052 Galactose metabolism [PATH:ko00052]
K00917  lacC	tagatose 6-phosphate kinase [EC:2.7.1.144]	ko00052 Galactose metabolism [PATH:ko00052]
K00850  pfkA, PFK	6-phosphofructokinase 1 [EC:2.7.1.11]	ko00052 Galactose metabolism [PATH:ko00052]
K16370  pfkB	6-phosphofructokinase 2 [EC:2.7.1.11]	ko00052 Galactose metabolism [PATH:ko00052]
K21071  pfk, pfp	ATP-dependent phosphofructokinase / diphosphate-dependent phosphofructokinase [EC:2.7.1.11 2.7.1.90]	ko00052 Galactose metabolism [PATH:ko00052]
K01635  lacD	tagatose 1,6-diphosphate aldolase [EC:4.1.2.40]	ko00052 Galactose metabolism [PATH:ko00052]
K08302  gatY-kbaY	tagatose 1,6-diphosphate aldolase GatY/KbaY [EC:4.1.2.40]	ko00052 Galactose metabolism [PATH:ko00052]
K16371  gatZ-kbaZ	D-tagatose-1,6-bisphosphate aldolase subunit GatZ/KbaZ	ko00052 Galactose metabolism [PATH:ko00052]
K00035  gal	D-galactose 1-dehydrogenase [EC:1.1.1.48]	ko00052 Galactose metabolism [PATH:ko00052]
K22215  galD	galactose dehydrogenase [EC:1.1.1.48 1.1.1.120]	ko00052 Galactose metabolism [PATH:ko00052]
K18124  gdh2, gdhA	glucose/galactose 1-dehydrogenase (NADP+) [EC:1.1.1.360]	ko00052 Galactose metabolism [PATH:ko00052]
K18125  ssgdh	aldose 1-dehydrogenase [NAD(P)+] [EC:1.1.1.359]	ko00052 Galactose metabolism [PATH:ko00052]
K04618  GAOA	galactose oxidase [EC:1.1.3.9]	ko00052 Galactose metabolism [PATH:ko00052]
K01684  dgoD	galactonate dehydratase [EC:4.2.1.6]	ko00052 Galactose metabolism [PATH:ko00052]
K05308  gnaD	gluconate/galactonate dehydratase [EC:4.2.1.140]	ko00052 Galactose metabolism [PATH:ko00052]
K11395  kdpgA	2-dehydro-3-deoxy-phosphogluconate/2-dehydro-3-deoxy-6-phosphogalactonate aldolase [EC:4.1.2.55]	ko00052 Galactose metabolism [PATH:ko00052]
K18127  kdgA	2-dehydro-3-deoxy-D-gluconate aldolase [EC:4.1.2.51]	ko00052 Galactose metabolism [PATH:ko00052]
K00883  dgoK	2-dehydro-3-deoxygalactonokinase [EC:2.7.1.58]	ko00052 Galactose metabolism [PATH:ko00052]
K18126  sskdgK	2-dehydro-3-deoxygluconokinase / 2-dehydro-3-deoxygalactonokinase [EC:2.7.1.178]	ko00052 Galactose metabolism [PATH:ko00052]
K01631  dgoA	2-dehydro-3-deoxyphosphogalactonate aldolase [EC:4.1.2.21]	ko00052 Galactose metabolism [PATH:ko00052]
K01819  E5.3.1.26, lacA, lacB	galactose-6-phosphate isomerase [EC:5.3.1.26]	ko00052 Galactose metabolism [PATH:ko00052]
K01220  E3.2.1.85, lacG	6-phospho-beta-galactosidase [EC:3.2.1.85]	ko00052 Galactose metabolism [PATH:ko00052]
K02786  lacF	lactose PTS system EIIA component [EC:2.7.1.207]	ko00052 Galactose metabolism [PATH:ko00052]
K02788  lacE	lactose PTS system EIICB component [EC:2.7.1.207]	ko00052 Galactose metabolism [PATH:ko00052]
K01193  INV, sacA	beta-fructofuranosidase [EC:3.2.1.26]	ko00052 Galactose metabolism [PATH:ko00052]
K06611  E2.4.1.67	stachyose synthetase [EC:2.4.1.67]	ko00052 Galactose metabolism [PATH:ko00052]
K12047  MGAM	maltase-glucoamylase [EC:3.2.1.20 3.2.1.3]	ko00052 Galactose metabolism [PATH:ko00052]
K01187  malZ	alpha-glucosidase [EC:3.2.1.20]	ko00052 Galactose metabolism [PATH:ko00052]
K12316  GAA	lysosomal alpha-glucosidase [EC:3.2.1.20]	ko00052 Galactose metabolism [PATH:ko00052]
K12317  GANC	neutral alpha-glucosidase C [EC:3.2.1.20]	ko00052 Galactose metabolism [PATH:ko00052]
K01182  IMA, malL	oligo-1,6-glucosidase [EC:3.2.1.10]	ko00052 Galactose metabolism [PATH:ko00052]
K01203  SI	sucrase-isomaltase [EC:3.2.1.48 3.2.1.10]	ko00052 Galactose metabolism [PATH:ko00052]
K02744  agaF	N-acetylgalactosamine PTS system EIIA component [EC:2.7.1.-]	ko00052 Galactose metabolism [PATH:ko00052]
K02745  agaV	N-acetylgalactosamine PTS system EIIB component [EC:2.7.1.-]	ko00052 Galactose metabolism [PATH:ko00052]
K02746  agaW	N-acetylgalactosamine PTS system EIIC component	ko00052 Galactose metabolism [PATH:ko00052]
K02747  agaE	N-acetylgalactosamine PTS system EIID component	ko00052 Galactose metabolism [PATH:ko00052]
K02079  agaA	N-acetylgalactosamine-6-phosphate deacetylase [EC:3.5.1.25]	ko00052 Galactose metabolism [PATH:ko00052]
K02082  agaS	D-galactosamine 6-phosphate deaminase/isomerase [EC:3.5.99.-]	ko00052 Galactose metabolism [PATH:ko00052]
K10984  agaB	galactosamine PTS system EIIB component [EC:2.7.1.-]	ko00052 Galactose metabolism [PATH:ko00052]
K10985  agaC	galactosamine PTS system EIIC component	ko00052 Galactose metabolism [PATH:ko00052]
K10986  agaD	galactosamine PTS system EIID component	ko00052 Galactose metabolism [PATH:ko00052]
K00012  UGDH, ugd	UDPglucose 6-dehydrogenase [EC:1.1.1.22]	ko00053 Ascorbate and aldarate metabolism [PATH:ko00053]
K12447  USP	UDP-sugar pyrophosphorylase [EC:2.7.7.64]	ko00053 Ascorbate and aldarate metabolism [PATH:ko00053]
K16190  GLCAK	glucuronokinase [EC:2.7.1.43]	ko00053 Ascorbate and aldarate metabolism [PATH:ko00053]
K00699  UGT	glucuronosyltransferase [EC:2.4.1.17]	ko00053 Ascorbate and aldarate metabolism [PATH:ko00053]
K01195  uidA, GUSB	beta-glucuronidase [EC:3.2.1.31]	ko00053 Ascorbate and aldarate metabolism [PATH:ko00053]
K14756  KL	klotho [EC:3.2.1.31]	ko00053 Ascorbate and aldarate metabolism [PATH:ko00053]
K00469  MIOX	inositol oxygenase [EC:1.13.99.1]	ko00053 Ascorbate and aldarate metabolism [PATH:ko00053]
K00002  AKR1A1, adh	alcohol dehydrogenase (NADP+) [EC:1.1.1.2]	ko00053 Ascorbate and aldarate metabolism [PATH:ko00053]
K01053  gnl, RGN	gluconolactonase [EC:3.1.1.17]	ko00053 Ascorbate and aldarate metabolism [PATH:ko00053]
K00103  GULO	L-gulonolactone oxidase [EC:1.1.3.8]	ko00053 Ascorbate and aldarate metabolism [PATH:ko00053]
K10046  GME	GDP-D-mannose 3', 5'-epimerase [EC:5.1.3.18 5.1.3.-]	ko00053 Ascorbate and aldarate metabolism [PATH:ko00053]
K14190  VTC2_5	GDP-L-galactose phosphorylase [EC:2.7.7.69]	ko00053 Ascorbate and aldarate metabolism [PATH:ko00053]
K10047  VTC4	inositol-phosphate phosphatase / L-galactose 1-phosphate phosphatase [EC:3.1.3.25 3.1.3.93]	ko00053 Ascorbate and aldarate metabolism [PATH:ko00053]
K18649  IMPL2	inositol-phosphate phosphatase / L-galactose 1-phosphate phosphatase / histidinol-phosphatase [EC:3.1.3.25 3.1.3.93 3.1.3.15]	ko00053 Ascorbate and aldarate metabolism [PATH:ko00053]
K00064  E1.1.1.122	D-threo-aldose 1-dehydrogenase [EC:1.1.1.122]	ko00053 Ascorbate and aldarate metabolism [PATH:ko00053]
K17744  GalDH	L-galactose dehydrogenase [EC:1.1.1.316]	ko00053 Ascorbate and aldarate metabolism [PATH:ko00053]
K00225  GLDH	L-galactono-1,4-lactone dehydrogenase [EC:1.3.2.3]	ko00053 Ascorbate and aldarate metabolism [PATH:ko00053]
K08679  GAE, cap1J	UDP-glucuronate 4-epimerase [EC:5.1.3.6]	ko00053 Ascorbate and aldarate metabolism [PATH:ko00053]
K19642  GALUR	D-galacturonate reductase [EC:1.1.1.365]	ko00053 Ascorbate and aldarate metabolism [PATH:ko00053]
K23003  lgaA	L-galactose dehydrogenase [EC:1.1.1.-]	ko00053 Ascorbate and aldarate metabolism [PATH:ko00053]
K23004  lgaB	L-galactono-1,5-lactonase [EC:3.1.1.-]	ko00053 Ascorbate and aldarate metabolism [PATH:ko00053]
K23005  lgaC	L-galactonate 5-dehydrogenase [EC:1.1.1.414]	ko00053 Ascorbate and aldarate metabolism [PATH:ko00053]
K23007  lgoD	L-galactonate 5-dehydrogenase [EC:1.1.1.414]	ko00053 Ascorbate and aldarate metabolism [PATH:ko00053]
K02821  ulaC, sgaA	ascorbate PTS system EIIA or EIIAB component [EC:2.7.1.194]	ko00053 Ascorbate and aldarate metabolism [PATH:ko00053]
K02822  ulaB, sgaB	ascorbate PTS system EIIB component [EC:2.7.1.194]	ko00053 Ascorbate and aldarate metabolism [PATH:ko00053]
K03475  ulaA, sgaT	ascorbate PTS system EIIC component	ko00053 Ascorbate and aldarate metabolism [PATH:ko00053]
K03476  ulaG	L-ascorbate 6-phosphate lactonase [EC:3.1.1.-]	ko00053 Ascorbate and aldarate metabolism [PATH:ko00053]
K03078  ulaD, sgaH, sgbH	3-dehydro-L-gulonate-6-phosphate decarboxylase [EC:4.1.1.85]	ko00053 Ascorbate and aldarate metabolism [PATH:ko00053]
K03079  ulaE, sgaU, sgbU	L-ribulose-5-phosphate 3-epimerase [EC:5.1.3.22]	ko00053 Ascorbate and aldarate metabolism [PATH:ko00053]
K03077  araD, ulaF, sgaE, sgbE	L-ribulose-5-phosphate 4-epimerase [EC:5.1.3.4]	ko00053 Ascorbate and aldarate metabolism [PATH:ko00053]
K08232  E1.6.5.4	monodehydroascorbate reductase (NADH) [EC:1.6.5.4]	ko00053 Ascorbate and aldarate metabolism [PATH:ko00053]
K00434  E1.11.1.11	L-ascorbate peroxidase [EC:1.11.1.11]	ko00053 Ascorbate and aldarate metabolism [PATH:ko00053]
K21888  DHAR	glutathione dehydrogenase/transferase [EC:1.8.5.1 2.5.1.18]	ko00053 Ascorbate and aldarate metabolism [PATH:ko00053]
K00423  E1.10.3.3	L-ascorbate oxidase [EC:1.10.3.3]	ko00053 Ascorbate and aldarate metabolism [PATH:ko00053]
K08092  dlgD	3-dehydro-L-gulonate 2-dehydrogenase [EC:1.1.1.130]	ko00053 Ascorbate and aldarate metabolism [PATH:ko00053]
K00880  lyxK	L-xylulokinase [EC:2.7.1.53]	ko00053 Ascorbate and aldarate metabolism [PATH:ko00053]
K00128  ALDH	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	ko00053 Ascorbate and aldarate metabolism [PATH:ko00053]
K14085  ALDH7A1	aldehyde dehydrogenase family 7 member A1 [EC:1.2.1.31 1.2.1.8 1.2.1.3]	ko00053 Ascorbate and aldarate metabolism [PATH:ko00053]
K00149  ALDH9A1	aldehyde dehydrogenase family 9 member A1 [EC:1.2.1.47 1.2.1.3]	ko00053 Ascorbate and aldarate metabolism [PATH:ko00053]
K01706  gudD	glucarate dehydratase [EC:4.2.1.40]	ko00053 Ascorbate and aldarate metabolism [PATH:ko00053]
K01630  garL	2-dehydro-3-deoxyglucarate aldolase [EC:4.1.2.20]	ko00053 Ascorbate and aldarate metabolism [PATH:ko00053]
K00062  ARA2	D-arabinose 1-dehydrogenase [EC:1.1.1.116]	ko00053 Ascorbate and aldarate metabolism [PATH:ko00053]
K00063  ARA1	D-arabinose 1-dehydrogenase [EC:1.1.1.117]	ko00053 Ascorbate and aldarate metabolism [PATH:ko00053]
K00107  ALO	D-arabinono-1,4-lactone oxidase [EC:1.1.3.37]	ko00053 Ascorbate and aldarate metabolism [PATH:ko00053]
K19590  araDH	D-arabinose 1-dehydrogenase (NADP+) [EC:1.1.1.427]	ko00053 Ascorbate and aldarate metabolism [PATH:ko00053]
K01683  araD	D-arabinonate dehydratase [EC:4.2.1.5]	ko00053 Ascorbate and aldarate metabolism [PATH:ko00053]
K14259  kdaD, xacE, kdxD	2-dehydro-3-deoxy-D-arabinonate dehydratase [EC:4.2.1.141]	ko00053 Ascorbate and aldarate metabolism [PATH:ko00053]
K13873  araA	L-arabinose 1-dehydrogenase [EC:1.1.1.376]	ko00053 Ascorbate and aldarate metabolism [PATH:ko00053]
K19660  araDH	L-arabinose 1-dehydrogenase [NAD(P)+] [EC:1.1.1.376]	ko00053 Ascorbate and aldarate metabolism [PATH:ko00053]
K13874  araB	L-arabinonolactonase [EC:3.1.1.15]	ko00053 Ascorbate and aldarate metabolism [PATH:ko00053]
K24443  xacC	D-xylono/L-arabinono-1,4-lactonase [EC:3.1.1.68 3.1.1.15]	ko00053 Ascorbate and aldarate metabolism [PATH:ko00053]
K13875  araC	L-arabonate dehydrase [EC:4.2.1.25]	ko00053 Ascorbate and aldarate metabolism [PATH:ko00053]
K13876  araD	2-keto-3-deoxy-L-arabinonate dehydratase [EC:4.2.1.43]	ko00053 Ascorbate and aldarate metabolism [PATH:ko00053]
K25260  lxyD	L-lyxonate dehydratase [EC:4.2.1.176]	ko00053 Ascorbate and aldarate metabolism [PATH:ko00053]
